Frame	Time	Scene info	Scene info:narrative details - external	Scene info:narrative details - internal	Scene info:characters on screen	Scene info:Music Presence	speech	speech:transcription	speech:character speaking	setting	setting:indoor/outdoor	setting:setting	Scene name	Scene name:scene name	
13	0.52	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
14	0.56	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
15	0.6000000000000001	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
16	0.64	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
17	0.68	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
18	0.7200000000000001	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
19	0.76	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
20	0.8	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
21	0.8400000000000001	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
22	0.88	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
23	0.92	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
24	0.9600000000000001	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
25	1.0	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
26	1.04	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
27	1.08	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
28	1.12	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
29	1.1600000000000001	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
30	1.2000000000000002	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
31	1.24	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
32	1.28	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
33	1.32	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
34	1.36	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
35	1.4000000000000001	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
36	1.4400000000000002	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
37	1.48	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
38	1.52	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
39	1.56	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
40	1.6	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
41	1.6400000000000001	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
42	1.6800000000000002	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
43	1.7200000000000002	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
44	1.76	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
45	1.8	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
46	1.84	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
47	1.8800000000000001	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
48	1.9200000000000002	1	Alfred Paper Boy is sitting in his car when a foot kicks off his side view mirror. Alfred Paper Boy turns and exclaims	Alfred Paper Boy is surprised	Alfred Paper Boy	0	1	what the	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
49	1.9600000000000002	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
50	2.0	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
51	2.04	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
52	2.08	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
53	2.12	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
54	2.16	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
55	2.2	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
56	2.24	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
57	2.2800000000000002	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
58	2.3200000000000003	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
59	2.3600000000000003	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
60	2.4000000000000004	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
61	2.44	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
62	2.48	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
63	2.52	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
64	2.56	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
65	2.6	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
66	2.64	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
67	2.68	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
68	2.72	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
69	2.7600000000000002	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
70	2.8000000000000003	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
71	2.8400000000000003	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
72	2.8800000000000003	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
73	2.9200000000000004	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
74	2.96	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
75	3.0	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
76	3.04	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
77	3.08	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
78	3.12	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
79	3.16	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
80	3.2	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
81	3.24	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
82	3.2800000000000002	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
83	3.3200000000000003	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
84	3.3600000000000003	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
85	3.4000000000000004	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
86	3.4400000000000004	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
87	3.4800000000000004	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
88	3.52	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
89	3.56	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
90	3.6	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
91	3.64	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
92	3.68	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
93	3.72	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
94	3.7600000000000002	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
95	3.8000000000000003	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
96	3.8400000000000003	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
97	3.8800000000000003	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
98	3.9200000000000004	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
99	3.9600000000000004	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
100	4.0	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
101	4.04	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
102	4.08	1	Alfred Paper Boy and Darius open the doors and get out of the car. A man and woman walk away from the car.	Alfred Paper Boy is surprised	Alfred Paper Boy, Darius, Man, Woman	0	1	Really man?! Hey man!	Alfred Paper Boy	1	2	convenience store parking lot	1	Convenience store confrontation	
