POLICE,23.8,24.1
COMES,24.1,24.8
CHASE,24.8,25.5
AFTER,25.5,25.8
THEY,25.8,26.0
ARE,26.0,26.1
AND,26.1,26.7
IT,26.7,26.8
IS,26.8,27.0
REVEALED,27.0,27.6
THAT,27.6,28.2
THE,28.2,29.4
PAPA,29.4,29.8
CEO,29.8,30.3
HAS,30.3,30.7
BEEN,30.7,31.1
USING,31.1,32.9
A,32.9,33.7
SQUEEZING,33.7,34.3
COMPANY,34.3,34.7
FOR,34.7,36.6
DOING,36.6,36.9
AND,36.9,37.4
MAKING,37.4,37.8
ILLEGAL,37.8,38.1
TRANSACTIONS,38.1,38.9
SO,38.9,39.1
HE,39.1,39.3
GETS,39.3,39.6
ARRESTED,39.6,40.2
FOR,40.2,40.5
THAT,40.5,40.7
AND,40.7,41.0
SHE,41.0,41.2
STAYED,41.2,41.5
IN,41.5,41.6
JAIL,41.6,41.8
AND,43.1,44.6
THE,44.6,44.7
ENTIRE,44.7,45.0
FAMILY,45.0,45.1
LIKE,47.0,47.7
OH,47.7,47.8
MY,47.8,47.9
GOD,47.9,48.1
WHAT,48.1,48.2
DO,48.2,48.3
WE,48.3,48.4
DO,48.4,48.6
AND,48.6,49.4
LUCILLE,49.4,49.9
THE,49.9,51.8
YOUNGEST,51.8,52.5
BROTHER,52.5,52.7
WITH,52.7,53.0
USELESS,53.0,53.3
DEGREES,53.3,53.9
AND,53.9,54.1
CHARGE,54.1,54.5
BUT,54.5,54.7
DOESN'T,54.7,55.2
KNOW,55.2,55.6
WHAT'S,55.6,55.8
HAPPENING,55.8,56.3
LINDSEY,56.3,59.9
HUSBAND,0.0,1.1
AND,1.1,1.3
HER,1.3,1.4
MOTHER,1.4,1.8
ARE,1.8,2.4
THEY,2.4,3.0
ALL,3.0,3.1
REALIZE,3.1,3.6
THAT,3.6,3.7
THEY'RE,3.7,3.9
SCREWED,3.9,5.2
I,5.2,5.9
KNOW,5.9,6.2
IT'S,6.2,14.0
JUSTIN'S,14.0,14.5
IDEA,14.5,14.7
TO,14.7,15.3
MICHAEL,15.3,16.1
SAID,16.1,16.6
ABOUT,16.6,17.0
LIKE,17.0,17.4
HOOKING,17.4,17.7
UP,17.7,17.9
IN,17.9,18.1
FRONT,18.1,18.3
OF,18.3,18.4
THEIR,18.4,18.5
PARENTS,18.5,18.9
TO,18.9,19.2
PROVE,19.2,19.4
A,19.4,19.4
POINT,19.4,19.5
THAT,19.5,20.1
THEY,20.1,20.3
SHOULD,20.3,20.6
GATHER,20.6,20.9
MORE,20.9,23.1
OFTEN,23.1,23.6
BECAUSE,23.6,25.0
IT,25.0,25.5
WOULDN'T,25.5,25.7
HAVE,25.7,25.8
HAPPENED,25.8,26.1
IF,26.1,26.6
THEY,26.6,26.8
KNEW,26.8,27.1
THAT,27.1,29.1
THEY,29.1,29.3
WERE,29.3,29.5
COUSINS,29.5,29.7
OTHER,31.3,32.3
WORDS,32.3,32.7
TO,32.7,32.9
MAKE,32.9,33.1
A,33.1,33.2
FLASHBACK,33.2,34.0
OF,34.0,34.2
HOW,34.2,35.5
LINDSAY,35.5,36.7
WAS,36.7,37.1
IN,37.1,37.2
TOWN,37.2,37.6
BUT,37.6,37.7
SHE,37.7,38.6
NEVER,38.6,38.9
TOLD,38.9,39.2
MICHAEL,39.2,40.0
AND,41.0,42.7
LIKE,42.7,43.0
I,43.0,43.1
WAS,43.1,43.1
REALLY,43.1,43.3
DISAPPOINTED,43.3,43.6
ANYWAY,43.6,45.3
WHAT,45.3,46.8
HAPPENS,46.8,47.3
AFTER,47.3,47.8
THE,47.8,48.9
FATHER'S,48.9,49.2
THE,49.2,49.4
REST,49.4,49.9
OF,49.9,50.6
HIS,50.6,50.8
IMPRISONMENT,50.8,51.1
IS,51.1,51.9
THE,51.9,54.8
YOUNGEST,54.8,56.0
IN,56.0,56.1
CHARGE,56.1,56.2
BUT,56.2,56.8
HE,56.8,57.5
DOESN'T,57.5,58.3
KNOW,58.3,58.4
WHAT,58.4,58.6
TO,58.6,58.7
DO,58.7,58.7
MICHAEL,0.0,1.2
SALTY,1.2,1.7000000000000002
AND,1.7000000000000002,2.5
HE,2.5,2.6
GETS,2.6,2.8
A,2.8,2.9
JOB,2.9,2.9
AT,2.9,3.7
A,3.7,3.8
COMPETING,3.8,4.3
FIRM,4.3,4.8
IN,4.8,5.6
ARIZONA,5.6,6.7
AND,6.7,8.8
THE,8.8,9.0
INTERVIEWER,9.0,9.5
WAS,9.5,9.5
REALLY,9.5,9.9
LIKED,9.9,10.2
HIM,10.2,10.3
AND,10.3,11.2
SO,11.2,11.5
SHE,11.5,12.3
IS,12.3,12.9
TRYING,12.9,13.3
TO,13.3,13.3
MOVE,13.3,13.5
TO,13.5,13.6
ARIZONA,13.6,14.0
WITH,14.0,14.6
HIS,14.6,14.9
SON,14.9,15.2
WHILE,15.2,16.6
IT'S,16.6,17.8
CLEAR,17.8,18.3
THAT,18.3,18.4
HIS,18.4,19.5
SON,19.5,19.7
REALLY,19.7,20.6
WANTS,20.6,20.7
TO,20.7,21.0
IN,21.0,21.2
CALIFORNIA,21.2,21.4
AND,21.4,22.6
KEEP,22.6,25.1
INTERACTING,25.1,25.4
WITH,25.4,25.9
HIS,25.9,26.4
EXTENDED,26.4,27.4
FAMILY,27.4,27.6
AND,27.6,40.2
YEAH,45.0,45.4
THEY'RE,45.4,45.8
PACKING,45.8,46.3
UP,46.3,46.4
AND,46.4,47.4
LINDSAY,47.4,47.8
VISITED,47.8,48.8
THE,48.8,48.9
MODEL,48.9,49.3
HOUSE,49.3,49.6
AT,49.6,49.9
MICHAEL,49.9,51.6
 AND ,51.6,52.1
SON,52.1,52.5
WHIPPING,52.5,52.9
TOO,52.9,54.5
YOUNG,54.5,55.0
TO,55.0,55.1
TAKE,55.1,55.3
THE,55.3,55.5
LAST,55.5,55.8
AND,55.8,56.1
VALUABLE,56.1,57.0
BUT,57.0,57.9
SHE,57.9,58.1
RUNS,58.1,58.3
INTO,58.3,58.6
MICHAEL'S,58.6,59.3
SON,59.3,59.7
AND,0.1,0.5
SHE,0.5,0.7000000000000001
SAYS,0.7000000000000001,1.1
ALL,1.1,1.5
WELL,1.5,1.8
I,1.8,1.9
CAME,1.9,2.2
HERE,2.2,2.4
TO,2.4,2.5
SAY,2.5,2.8
ONE,2.8,3.0
LAST,3.0,3.2
GOODBYE,3.2,3.6
TO,3.6,3.9
YOU,3.9,4.2
AND,4.2,5.1
MICHAEL,5.1,5.4
MICHAEL,5.4,12.4
SEES,12.4,12.7
THAT,12.7,13.1
AND,13.1,13.3
HE,13.3,13.9
TALKS,13.9,14.2
THEY,22.3,23.4
ARE,23.4,23.9
IN,23.9,24.2
THE,24.2,24.3
EXTENDED,24.3,24.6
FAMILY,24.6,24.9
DECIDES,24.9,25.6
TO,25.6,25.7
STICK,25.7,26.1
AROUND,26.1,26.2
OR,26.2,27.0
AT,27.0,27.2
LEAST,27.2,27.4
LINDSAY,27.4,27.9
AND,27.9,28.4
HER,28.4,28.6
HUSBAND,28.6,29.1
AN,29.1,30.7
ACTOR,30.7,31.1
SO,31.1,31.6
SHE'S,31.6,32.3
LIKE,32.3,32.4
REALLY,32.4,32.6
BAD,32.6,33.3
SMART,33.3,34.9
LIKE,34.9,35.0
YOU,35.0,35.1
GOT,35.1,35.3
TO,35.3,45.6
BE,45.6,46.3
AROUND,46.3,46.5
MICHAEL,46.5,47.2
HAS,47.2,47.9
HER,47.9,48.1
LIFE,48.1,48.7
AND,51.5,52.4
THANKS,52.4,53.6
BY,53.6,53.8
TO,53.8,54.0
STAY,54.0,54.4
AND,54.4,55.0
THE,55.0,55.5
LAST,55.5,56.0
SCENE,56.0,56.3
WHERE,56.3,56.5
SHOWING,56.5,56.9
THEM,56.9,57.0
PLAY,57.0,57.5
THE,57.5,58.1
GAME,58.1,58.3
OF,58.3,58.5
LIFE,58.5,58.7
AND,58.7,59.9
AND,1.7000000000000002,2.1
THEY'RE,2.1,2.3
REALLY,2.3,2.4
TOMORROW,2.4,2.9
AT,2.9,4.0
LEAST,4.0,4.2
LINDSAY,4.2,4.6
AND,4.6,4.8
HER,4.8,4.9
HUSBAND,4.9,5.2
AROUND,5.2,5.3
AND,5.3,6.9
MICHAEL'S,6.9,7.7
HOUSE,7.7,8.1
WITH,8.1,8.8
SIDING,8.8,9.0
THAT,9.0,9.5
YOU,9.5,9.7
MIGHT,9.7,9.8
HAVE,9.8,9.9
TO,9.9,10.0
SHARE,10.0,10.2
A,10.2,10.3
ROOM,10.3,10.4
WITH,10.4,10.7
RESUMING,10.7,15.3
CHEW,15.3,15.6
YEAH,20.9,21.3
NUTS,22.7,23.6
I,23.6,23.7
REMEMBER,23.7,23.9
BACK,23.9,25.2
IN,25.2,25.5
LIKE,25.5,25.7
ADD,25.7,25.9
SOME,25.9,26.1
DETAILS,26.1,26.3
FOR,26.3,27.0
COMING,27.0,27.2
BACK,27.2,27.4
I,27.4,29.3
MEAN,29.3,29.5
SHE,29.5,29.7
WORKS,29.7,30.2
AT,30.2,30.4
A,30.4,30.8
FROZEN,30.8,31.0
BANANA,31.0,31.3
STAND,31.3,31.7
BY,31.7,32.7
THE,32.7,32.9
BEACH,32.9,33.1
AND,33.1,34.2
THAT'S,34.9,36.9
WHERE,36.9,37.2
HIS,37.2,37.5
COMING,37.5,37.8
CONFRONTS,37.8,38.3
HIM,38.3,38.7
AND,38.7,39.4
STUFF,39.4,40.1
WHAT,40.1,40.3
THEY,40.3,40.4
MAKE,40.4,40.6
OUT,40.6,40.9
AND,40.9,42.1
IT,42.1,42.2
SOUNDS,42.2,43.9
LIKE,43.9,44.1
A,44.1,44.3
ANIMAL,44.3,48.4
IN,48.4,50.7
THE,50.7,50.8
FROZEN,50.8,51.1
BANANA,51.1,51.6
WITCHES,51.6,52.0
FROM,52.0,52.3
LUCILLE'S,52.3,53.2
LITTLE,53.2,54.1
THING,54.1,55.0
LIKE,55.0,57.0
A,57.0,57.1
LIGHT,57.1,57.4
SKINNED,57.4,57.8
ANIMAL,57.8,58.3
AUNT,0.0,0.8
THE,5.4,7.4
ELDEST,7.4,7.8
SON,7.8,7.9
WHILE,7.9,9.5
THEY,9.5,9.6
WERE,9.6,9.7
WHILE,9.7,10.5
HIS,10.5,10.7
FATHER,10.7,10.8
WAS,10.8,11.1
GETTING,11.1,11.3
ARRESTED,11.3,11.7
TRIES,11.7,12.6
TO,12.6,12.8
HIDE,12.8,13.2
HIS,13.2,14.3
FATHER,14.3,14.6
IN,14.6,14.8
THE,14.8,14.8
AZTEC,14.8,15.5
TWO,15.5,18.5
SUPPOSED,18.5,18.8
TO,18.8,18.9
BE,18.9,18.9
USED,18.9,19.3
IN,19.3,19.4
HIS,19.4,19.8
MAGIC,19.8,20.3
TRICK,20.3,20.5
WORK,20.5,20.8
WITH,20.8,21.0
ORANGE,21.0,21.3
AS,21.3,21.6
HE,21.6,21.7
CALLS,21.7,22.0
IT,22.0,22.1
BUT,22.1,23.2
THE,23.2,23.3
DOGS,23.3,23.7
SNIFF,23.7,24.8
THEM,24.8,25.0
OUT,25.0,25.0
STARE,37.8,38.7
AGAIN,46.7,47.5
THERE,49.9,51.8
IN,51.8,51.9
CALIFORNIA,51.9,52.3
SOUTHERN,54.1,54.6
CALIFORNIA,54.6,54.8
BY,54.8,55.7
THE,55.7,55.7
BEACH,55.7,55.8
